,fold,model,mcc,auc,type
0,0,LR,0.1824584653,0.718230897,DEFAULT
3,1,LR,0.0979869536,0.7462624585,DEFAULT
6,2,LR,0.1333383746,0.7469247832,DEFAULT
9,3,LR,0.1479931659,0.7829991646,DEFAULT
12,4,LR,0.1550841749,0.6562238931,DEFAULT
0,0,KNN,0.2680719311,0.6623754153,DEFAULT
3,1,KNN,0.1870446633,0.6554194352,DEFAULT
6,2,KNN,0.2183014781,0.7091147409,DEFAULT
9,3,KNN,0.2114741465,0.6860902256,DEFAULT
12,4,KNN,0.1550841749,0.5479323308,DEFAULT
0,0,DT,0.2759277429,0.7878945183,DEFAULT
3,1,DT,0,0.648255814,DEFAULT
6,2,DT,0.099403342,0.6453922162,DEFAULT
9,3,DT,0.3024197539,0.7160609858,DEFAULT
12,4,DT,0.2127712904,0.6591478697,DEFAULT
0,0,SVMR,-0.0286014634,0.7333887043,DEFAULT
3,1,SVMR,0,0.6281146179,DEFAULT
6,2,SVMR,0,0.6180681589,DEFAULT
9,3,SVMR,0,0.7226399332,DEFAULT
12,4,SVMR,0,0.6370091896,DEFAULT
0,0,SVML,0,0.7093023256,DEFAULT
3,1,SVML,0,0.7134551495,DEFAULT
6,2,SVML,0,0.6717080056,DEFAULT
9,3,SVML,0,0.7134502924,DEFAULT
12,4,SVML,0,0.682748538,DEFAULT
0,0,RF,0.11521166,0.6862541528,DEFAULT
3,1,RF,0.2186933668,0.6967400332,DEFAULT
6,2,RF,0.0753414439,0.6902601331,DEFAULT
9,3,RF,0.3024197539,0.6623851295,DEFAULT
12,4,RF,0.0796296238,0.7807017544,DEFAULT
0,0,XG,0.1438374649,0.6268687708,DEFAULT
3,1,XG,-0.0658627013,0.4908637874,DEFAULT
6,2,XG,0.1846093838,0.744303287,DEFAULT
9,3,XG,0.1147240347,0.657059315,DEFAULT
12,4,XG,0.2127712904,0.6954887218,DEFAULT
0,0,LR,0.2684519085,0.7647425249,ADASYN_over
3,1,LR,0.2864644354,0.7443936877,ADASYN_over
6,2,LR,0.2446697743,0.7231296632,ADASYN_over
9,3,LR,0.2718122712,0.7474937343,ADASYN_over
12,4,LR,0.3123429155,0.742481203,ADASYN_over
0,0,KNN,0.2021840803,0.6330980066,ADASYN_over
3,1,KNN,0.2091668218,0.6690199336,ADASYN_over
6,2,KNN,0.0609210622,0.5905424481,ADASYN_over
9,3,KNN,0.1398223024,0.6242690058,ADASYN_over
12,4,KNN,0.1371901214,0.6468253968,ADASYN_over
0,0,DT,0.2148404473,0.6308139535,ADASYN_over
3,1,DT,0.1815161225,0.6469061462,ADASYN_over
6,2,DT,0.1952242882,0.6444847752,ADASYN_over
9,3,DT,0.2405718428,0.6236424394,ADASYN_over
12,4,DT,0.0407599892,0.5694444444,ADASYN_over
0,0,SVMR,0.3297422985,0.7641196013,ADASYN_over
3,1,SVMR,0.3383639476,0.7574750831,ADASYN_over
6,2,SVMR,0.4121401639,0.816091954,ADASYN_over
9,3,SVMR,0.1377213643,0.6123642439,ADASYN_over
12,4,SVMR,0.2198438044,0.6939223058,ADASYN_over
0,0,SVML,0.3018688822,0.7552948505,ADASYN_over
3,1,SVML,0.3393559559,0.7973421927,ADASYN_over
6,2,SVML,0.352541927,0.771728171,ADASYN_over
9,3,SVML,0.2582619346,0.73893066,ADASYN_over
12,4,SVML,0.2719454246,0.6835839599,ADASYN_over
0,0,RF,0.1614084197,0.5989410299,ADASYN_over
3,1,RF,0.2744167277,0.741486711,ADASYN_over
6,2,RF,0.2630629525,0.6527525711,ADASYN_over
9,3,RF,0.1618838257,0.6548663325,ADASYN_over
12,4,RF,0.3262668864,0.7787176274,ADASYN_over
0,0,XG,0.0936127056,0.6090116279,ADASYN_over
3,1,XG,0.2159807659,0.7007890365,ADASYN_over
6,2,XG,0.3185157452,0.7297842307,ADASYN_over
9,3,XG,0.2390578731,0.6871345029,ADASYN_over
12,4,XG,0.2103174603,0.6370091896,ADASYN_over
0,0,LR,0.2684519085,0.6816860465,ADASYN_both
3,1,LR,0.3603874935,0.7811461794,ADASYN_both
6,2,LR,0.3395246288,0.7729380924,ADASYN_both
9,3,LR,0.2674694804,0.7147034252,ADASYN_both
12,4,LR,0.3252522901,0.7702589808,ADASYN_both
0,0,KNN,0.2138090263,0.6478405316,ADASYN_both
3,1,KNN,0.1041763561,0.6060008306,ADASYN_both
6,2,KNN,0.1230882269,0.6360153257,ADASYN_both
9,3,KNN,0.1303120504,0.6050543024,ADASYN_both
12,4,KNN,0.1191558746,0.5864661654,ADASYN_both
0,0,DT,0.2174703105,0.6643480066,ADASYN_both
3,1,DT,0.1969103059,0.6258305648,ADASYN_both
6,2,DT,0.0054376163,0.5373059084,ADASYN_both
9,3,DT,0.0398291022,0.5567042607,ADASYN_both
12,4,DT,0.1045811778,0.5917919799,ADASYN_both
0,0,SVMR,0.3780930669,0.7723214286,ADASYN_both
3,1,SVMR,0.3780930669,0.8093853821,ADASYN_both
6,2,SVMR,0.2492205783,0.7313974592,ADASYN_both
9,3,SVMR,0.2119644629,0.6800334169,ADASYN_both
12,4,SVMR,0.2569358951,0.7241019215,ADASYN_both
0,0,SVML,0.4326129117,0.8455149502,ADASYN_both
3,1,SVML,0.2392205335,0.7294435216,ADASYN_both
6,2,SVML,0.2375289497,0.7060899375,ADASYN_both
9,3,SVML,0.2638355296,0.703320802,ADASYN_both
12,4,SVML,0.4105223134,0.7341269841,ADASYN_both
0,0,RF,0.2430950678,0.6969476744,ADASYN_both
3,1,RF,0.1903804162,0.6736918605,ADASYN_both
6,2,RF,0.2463544589,0.7279693487,ADASYN_both
9,3,RF,0.2735091293,0.7687969925,ADASYN_both
12,4,RF,0.1409326154,0.5665204678,ADASYN_both
0,0,XG,0.099050727,0.6007059801,ADASYN_both
3,1,XG,0.2305561671,0.6889534884,ADASYN_both
6,2,XG,0.2276568374,0.7094172212,ADASYN_both
9,3,XG,0.2446280075,0.7270258981,ADASYN_both
12,4,XG,0.2511166283,0.7374686717,ADASYN_both
0,0,LR,0.1865796414,0.6879152824,SMOTE_both
3,1,LR,0.2430470114,0.7553986711,SMOTE_both
6,2,LR,0.3029708239,0.7398669087,SMOTE_both
9,3,LR,0.428197454,0.8099415205,SMOTE_both
12,4,LR,0.3298462976,0.7525062657,SMOTE_both
0,0,KNN,0.1873086138,0.6943521595,SMOTE_both
3,1,KNN,0.134596918,0.64410299,SMOTE_both
6,2,KNN,0.1994681419,0.6533575318,SMOTE_both
9,3,KNN,0.1515978462,0.6198830409,SMOTE_both
12,4,KNN,0.1670924589,0.630952381,SMOTE_both
0,0,DT,0.0799879978,0.6153446844,SMOTE_both
3,1,DT,0.193734136,0.6174210963,SMOTE_both
6,2,DT,0.1209960677,0.5771324864,SMOTE_both
9,3,DT,0.0831302494,0.5421888053,SMOTE_both
12,4,DT,0.2527726311,0.6984126984,SMOTE_both
0,0,SVMR,0.2430470114,0.7371262458,SMOTE_both
3,1,SVMR,0.3646698464,0.7958887043,SMOTE_both
6,2,SVMR,0.206078269,0.6331921758,SMOTE_both
9,3,SVMR,0.3514194948,0.7819548872,SMOTE_both
12,4,SVMR,0.3380744838,0.7414369256,SMOTE_both
0,0,SVML,0.2097509259,0.7526993355,SMOTE_both
3,1,SVML,0.3500525485,0.7346345515,SMOTE_both
6,2,SVML,0.3005792243,0.6805807623,SMOTE_both
9,3,SVML,0.2987030401,0.7380952381,SMOTE_both
12,4,SVML,0.4355771248,0.8101503759,SMOTE_both
0,0,RF,0.1612448766,0.6815822259,SMOTE_both
3,1,RF,0.2820971321,0.7055647841,SMOTE_both
6,2,RF,0.3143778988,0.7564025005,SMOTE_both
9,3,RF,0.2103174603,0.6334586466,SMOTE_both
12,4,RF,0.4801428256,0.7848788638,SMOTE_both
0,0,XG,0.3422892167,0.7516611296,SMOTE_both
3,1,XG,0.3001265108,0.7460548173,SMOTE_both
6,2,XG,0.1695071476,0.6398467433,SMOTE_both
9,3,XG,0.2865327934,0.7717209691,SMOTE_both
12,4,XG,-0.0144184952,0.5626566416,SMOTE_both
0,0,LR,0.1549702771,0.7095099668,SMOTE_over
3,1,LR,0.1921665535,0.6409883721,SMOTE_over
6,2,LR,0.3222107711,0.7495462795,SMOTE_over
9,3,LR,0.3914072903,0.8015873016,SMOTE_over
12,4,LR,0.3951770469,0.783625731,SMOTE_over
0,0,KNN,0.1012448707,0.584717608,SMOTE_over
3,1,KNN,0.1657536119,0.6285299003,SMOTE_over
6,2,KNN,0.1597232402,0.7279693487,SMOTE_over
9,3,KNN,0.2017700973,0.6277151211,SMOTE_over
12,4,KNN,0.0926642719,0.6525689223,SMOTE_over
0,0,DT,0.2414829009,0.6312292359,SMOTE_over
3,1,DT,0.1387681717,0.6118147841,SMOTE_over
6,2,DT,0.1461105453,0.5948779996,SMOTE_over
9,3,DT,0.2288393719,0.6838972431,SMOTE_over
12,4,DT,0.0706306629,0.5593149541,SMOTE_over
0,0,SVMR,0.2903803878,0.7435631229,SMOTE_over
3,1,SVMR,0.3131066705,0.7458471761,SMOTE_over
6,2,SVMR,0.4033838014,0.8035894334,SMOTE_over
9,3,SVMR,0.3181642212,0.7094820384,SMOTE_over
12,4,SVMR,0.1958237719,0.6965329992,SMOTE_over
0,0,SVML,0.3105985227,0.7481312292,SMOTE_over
3,1,SVML,0.2181861305,0.6835548173,SMOTE_over
6,2,SVML,0.4562960498,0.8010687639,SMOTE_over
9,3,SVML,0.3092436859,0.7520885547,SMOTE_over
12,4,SVML,0.3193957096,0.7286967419,SMOTE_over
0,0,RF,0.2725100818,0.6989202658,SMOTE_over
3,1,RF,0.2622842472,0.6677740864,SMOTE_over
6,2,RF,0.2246964967,0.7075015124,SMOTE_over
9,3,RF,0.3416555872,0.6543441938,SMOTE_over
12,4,RF,0.2290585294,0.6908939014,SMOTE_over
0,0,XG,0.2201163618,0.7101328904,SMOTE_over
3,1,XG,0.2476807361,0.7302740864,SMOTE_over
6,2,XG,0.3245295765,0.7447065941,SMOTE_over
9,3,XG,0.09755558,0.5718462824,SMOTE_over
12,4,XG,0.1618838257,0.694235589,SMOTE_over
0,0,LR,0.2939726793,0.729858804,TADA
3,1,LR,0.1064965038,0.6422342193,TADA
6,2,LR,0.3039691259,0.7229280097,TADA
9,3,LR,0.2006953276,0.6480785297,TADA
12,4,LR,0.3924829728,0.873433584,TADA
0,0,KNN,0.193734136,0.6457641196,TADA
3,1,KNN,0.2434224649,0.7408637874,TADA
6,2,KNN,0.2634847694,0.6844121799,TADA
9,3,KNN,0.1485172835,0.6256265664,TADA
12,4,KNN,0.1697998215,0.6718880535,TADA
0,0,DT,0.2704242069,0.6862541528,TADA
3,1,DT,0.2207615833,0.6608181063,TADA
6,2,DT,0.1014548333,0.6202863481,TADA
9,3,DT,0.1234870661,0.5705931495,TADA
12,4,DT,0.1435314892,0.6245822891,TADA
0,0,SVMR,0.2728292472,0.7273671096,TADA
3,1,SVMR,0.2684519085,0.721345515,TADA
6,2,SVMR,0.4106743413,0.802379512,TADA
9,3,SVMR,0.3055736035,0.7057226399,TADA
12,4,SVMR,0.4100897602,0.8149540518,TADA
0,0,SVML,0.3388550383,0.7855066445,TADA
3,1,SVML,0.3770747062,0.7392026578,TADA
6,2,SVML,0.3455137953,0.7515628151,TADA
9,3,SVML,0.2719027669,0.7160609858,TADA
12,4,SVML,0.2856316496,0.7220133668,TADA
0,0,RF,0.1997127071,0.6699543189,TADA
3,1,RF,0.3227804884,0.689057309,TADA
6,2,RF,0.1523070126,0.71728171,TADA
9,3,RF,0.1854488481,0.7889515455,TADA
12,4,RF,0.3224679006,0.6331453634,TADA
0,0,XG,0.2624290605,0.6648671096,TADA
3,1,XG,0.2524916944,0.6995431894,TADA
6,2,XG,0.2295305184,0.7091147409,TADA
9,3,XG,0.2616929261,0.7082289056,TADA
12,4,XG,0.0491661968,0.6535087719,TADA
0,0,LR,0.1482146788,0.7462624585,DEFAULT
3,1,LR,0,0.7992109635,DEFAULT
6,2,LR,0.1333383746,0.7037709216,DEFAULT
9,3,LR,0.0510243792,0.7080200501,DEFAULT
12,4,LR,0.261757293,0.7289055973,DEFAULT
0,0,KNN,0.114997004,0.6946636213,DEFAULT
3,1,KNN,0.1586548164,0.6165905316,DEFAULT
6,2,KNN,0.2178339242,0.5747126437,DEFAULT
9,3,KNN,0.3055367237,0.7663951546,DEFAULT
12,4,KNN,0.0510243792,0.673663325,DEFAULT
0,0,DT,0.11521166,0.6254152824,DEFAULT
3,1,DT,0.0934825438,0.6718230897,DEFAULT
6,2,DT,0.1159687079,0.6793708409,DEFAULT
9,3,DT,0.2011992777,0.5756056809,DEFAULT
12,4,DT,0.1747014381,0.6200918964,DEFAULT
0,0,SVMR,-0.0286014634,0.6297757475,DEFAULT
3,1,SVMR,0,0.6146179402,DEFAULT
6,2,SVMR,-0.0291927095,0.6868320226,DEFAULT
9,3,SVMR,0,0.678780284,DEFAULT
12,4,SVMR,0,0.6177944862,DEFAULT
0,0,SVML,0,0.6019518272,DEFAULT
3,1,SVML,0,0.6522009967,DEFAULT
6,2,SVML,0,0.6731195806,DEFAULT
9,3,SVML,0,0.6489139515,DEFAULT
12,4,SVML,0,0.6547619048,DEFAULT
0,0,RF,0.1353748668,0.710755814,DEFAULT
3,1,RF,0.0452878185,0.6262458472,DEFAULT
6,2,RF,0.2449683019,0.7668884856,DEFAULT
9,3,RF,0.2596651628,0.7681704261,DEFAULT
12,4,RF,0.1205713071,0.6338763576,DEFAULT
0,0,XG,0.1719029399,0.7115863787,DEFAULT
3,1,XG,0.0262788583,0.5691445183,DEFAULT
6,2,XG,0.1019782434,0.5381125227,DEFAULT
9,3,XG,0.1780790928,0.6771094403,DEFAULT
12,4,XG,0,0.5,DEFAULT
0,0,LR,0.2677813816,0.7130398671,ADASYN_over
3,1,LR,0.3410329869,0.7784468439,ADASYN_over
6,2,LR,0.311231417,0.7848356523,ADASYN_over
9,3,LR,0.2718122712,0.7623224728,ADASYN_over
12,4,LR,0.2139043175,0.6821219716,ADASYN_over
0,0,KNN,0.1249687107,0.6157599668,ADASYN_over
3,1,KNN,0.0823586409,0.6090116279,ADASYN_over
6,2,KNN,0.1741678984,0.6458963501,ADASYN_over
9,3,KNN,0.1558844946,0.623433584,ADASYN_over
12,4,KNN,0.1103470501,0.5937761069,ADASYN_over
0,0,DT,0.074224836,0.5585548173,ADASYN_over
3,1,DT,0.1966932726,0.6710963455,ADASYN_over
6,2,DT,0.1099504786,0.6412583182,ADASYN_over
9,3,DT,0.1053913664,0.5967000835,ADASYN_over
12,4,DT,0.1434400889,0.5912698413,ADASYN_over
0,0,SVMR,0.3026049693,0.7400332226,ADASYN_over
3,1,SVMR,0.2174703105,0.666320598,ADASYN_over
6,2,SVMR,0.291975119,0.7531760436,ADASYN_over
9,3,SVMR,0.2752516768,0.7015455305,ADASYN_over
12,4,SVMR,0.2778263236,0.7959482038,ADASYN_over
0,0,SVML,0.212281567,0.6843853821,ADASYN_over
3,1,SVML,0.2392205335,0.7252906977,ADASYN_over
6,2,SVML,0.197353484,0.6809840694,ADASYN_over
9,3,SVML,0.4285482525,0.8086883876,ADASYN_over
12,4,SVML,0.3765083933,0.7546992481,ADASYN_over
0,0,RF,0.1129951232,0.6465946844,ADASYN_over
3,1,RF,0.1344770788,0.5817068106,ADASYN_over
6,2,RF,0.1363873734,0.6668683202,ADASYN_over
9,3,RF,0.283421903,0.7211779449,ADASYN_over
12,4,RF,0.2605350125,0.7098997494,ADASYN_over
0,0,XG,0.2430950678,0.7522840532,ADASYN_over
3,1,XG,0.0475680052,0.6103612957,ADASYN_over
6,2,XG,0.1916670234,0.6567856423,ADASYN_over
9,3,XG,0.2556161146,0.6869256475,ADASYN_over
12,4,XG,0.1195846955,0.600877193,ADASYN_over
0,0,LR,0.3198519712,0.7695182724,ADASYN_both
3,1,LR,0.2704242069,0.7302740864,ADASYN_both
6,2,LR,0.2739918945,0.7574107683,ADASYN_both
9,3,LR,0.287198564,0.7525062657,ADASYN_both
12,4,LR,0.1272232573,0.6503759398,ADASYN_both
0,0,KNN,0.0529004415,0.5510797342,ADASYN_both
3,1,KNN,0.195499205,0.6670473422,ADASYN_both
6,2,KNN,0.2530029012,0.7108287961,ADASYN_both
9,3,KNN,0.132624795,0.5888680033,ADASYN_both
12,4,KNN,0.198772807,0.7162698413,ADASYN_both
0,0,DT,0.1683312421,0.6071428571,ADASYN_both
3,1,DT,0.1116533843,0.6050664452,ADASYN_both
6,2,DT,0.1804101291,0.6468037911,ADASYN_both
9,3,DT,0.1398427496,0.6074561404,ADASYN_both
12,4,DT,0.1092617527,0.5817669173,ADASYN_both
0,0,SVMR,0.3852856994,0.7738787375,ADASYN_both
3,1,SVMR,0.2430470114,0.6998546512,ADASYN_both
6,2,SVMR,0.2629644457,0.7197015527,ADASYN_both
9,3,SVMR,0.3316011867,0.7708855472,ADASYN_both
12,4,SVMR,0.1854840208,0.6718880535,ADASYN_both
0,0,SVML,0.3134347195,0.726744186,ADASYN_both
3,1,SVML,0.4341481224,0.8143687708,ADASYN_both
6,2,SVML,0.2060474451,0.6888485582,ADASYN_both
9,3,SVML,0.2730727231,0.7320384294,ADASYN_both
12,4,SVML,0.3509884056,0.7435254804,ADASYN_both
0,0,RF,0.2530908632,0.7476121262,ADASYN_both
3,1,RF,0.2021699722,0.6418189369,ADASYN_both
6,2,RF,0.176767955,0.596995362,ADASYN_both
9,3,RF,0.3509884056,0.7269214703,ADASYN_both
12,4,RF,0.238677345,0.6869256475,ADASYN_both
0,0,XG,0.194531766,0.6447259136,ADASYN_both
3,1,XG,0.2169682591,0.6600913621,ADASYN_both
6,2,XG,0.1933857633,0.6444847752,ADASYN_both
9,3,XG,0.252737727,0.7445697577,ADASYN_both
12,4,XG,0.028174526,0.5964912281,ADASYN_both
0,0,LR,0.2793667276,0.7248754153,SMOTE_both
3,1,LR,0.2537520164,0.6989202658,SMOTE_both
6,2,LR,0.397613368,0.7832224239,SMOTE_both
9,3,LR,0.1334431733,0.6468253968,SMOTE_both
12,4,LR,0.4214723899,0.8009607352,SMOTE_both
0,0,KNN,0.1339410293,0.6354858804,SMOTE_both
3,1,KNN,0.0597016641,0.5677948505,SMOTE_both
6,2,KNN,0.196222443,0.69943537,SMOTE_both
9,3,KNN,0.2422986623,0.7317251462,SMOTE_both
12,4,KNN,0.2282480593,0.7093776107,SMOTE_both
0,0,DT,0.078082265,0.5825373754,SMOTE_both
3,1,DT,0.043187127,0.5805647841,SMOTE_both
6,2,DT,0.0848716112,0.5820729986,SMOTE_both
9,3,DT,0.1002888144,0.6055764411,SMOTE_both
12,4,DT,0.2380059093,0.6649958229,SMOTE_both
0,0,SVMR,0.2560092623,0.6808554817,SMOTE_both
3,1,SVMR,0.3647582326,0.7808347176,SMOTE_both
6,2,SVMR,0.3335532465,0.7523694293,SMOTE_both
9,3,SVMR,0.3461234808,0.7387218045,SMOTE_both
12,4,SVMR,0.2719027669,0.7111528822,SMOTE_both
0,0,SVML,0.3713124175,0.7940199336,SMOTE_both
3,1,SVML,0.27394028,0.7317275748,SMOTE_both
6,2,SVML,0.2135980951,0.661020367,SMOTE_both
9,3,SVML,0.3493748127,0.7213868003,SMOTE_both
12,4,SVML,0.428197454,0.8279030911,SMOTE_both
0,0,RF,0.3830294228,0.7814576412,SMOTE_both
3,1,RF,0.1700378721,0.6571843854,SMOTE_both
6,2,RF,0.2632567407,0.6163541036,SMOTE_both
9,3,RF,0.1607805643,0.5867794486,SMOTE_both
12,4,RF,0.2934419382,0.6925647452,SMOTE_both
0,0,XG,0.1224829638,0.6478405316,SMOTE_both
3,1,XG,0.2057162571,0.7016196013,SMOTE_both
6,2,XG,0.2833400693,0.6765476911,SMOTE_both
9,3,XG,0.2949568778,0.6574770259,SMOTE_both
12,4,XG,0.1780790928,0.6616541353,SMOTE_both
0,0,LR,0.346815103,0.7755398671,SMOTE_over
3,1,LR,0.2799017372,0.6958056478,SMOTE_over
6,2,LR,0.3338291385,0.7646702964,SMOTE_over
9,3,LR,0.2811028284,0.7525062657,SMOTE_over
12,4,LR,0.2621667372,0.7251461988,SMOTE_over
0,0,KNN,-0.0169008364,0.5473421927,SMOTE_over
3,1,KNN,0.0986468719,0.6118147841,SMOTE_over
6,2,KNN,0.1255913371,0.665154265,SMOTE_over
9,3,KNN,0.2033477295,0.6424394319,SMOTE_over
12,4,KNN,0.2769421119,0.7016499582,SMOTE_over
0,0,DT,0.1710398395,0.6670473422,SMOTE_over
3,1,DT,0.1651191209,0.5893895349,SMOTE_over
6,2,DT,0.2933114179,0.7445049405,SMOTE_over
9,3,DT,0.2231226066,0.653091061,SMOTE_over
12,4,DT,0.1158237664,0.5897034252,SMOTE_over
0,0,SVMR,0.1813690118,0.6933139535,SMOTE_over
3,1,SVMR,0.2792516487,0.7458471761,SMOTE_over
6,2,SVMR,0.227415115,0.6850171406,SMOTE_over
9,3,SVMR,0.4081208509,0.8118212197,SMOTE_over
12,4,SVMR,0.1780790928,0.6486006683,SMOTE_over
0,0,SVML,0.3660570791,0.7890365449,SMOTE_over
3,1,SVML,0.3580255993,0.7273671096,SMOTE_over
6,2,SVML,0.3263384795,0.7535793507,SMOTE_over
9,3,SVML,0.2645393359,0.6967418546,SMOTE_over
12,4,SVML,0.3193957096,0.7589807853,SMOTE_over
0,0,RF,0.2201163618,0.7443936877,SMOTE_over
3,1,RF,0.226584667,0.6837624585,SMOTE_over
6,2,RF,0.1368844968,0.6543657996,SMOTE_over
9,3,RF,0.2605350125,0.6449456976,SMOTE_over
12,4,RF,0.3038946217,0.6775271512,SMOTE_over
0,0,XG,0.1129951232,0.6368355482,SMOTE_over
3,1,XG,0.135780591,0.6328903654,SMOTE_over
6,2,XG,0.0464829855,0.6127243396,SMOTE_over
9,3,XG,0.2081465035,0.7161654135,SMOTE_over
12,4,XG,0.1930187356,0.6773182957,SMOTE_over
0,0,LR,0.1458711283,0.6580149502,TADA
3,1,LR,0.2903803878,0.7234219269,TADA
6,2,LR,0.2262122704,0.7102238355,TADA
9,3,LR,0.3902524714,0.8013784461,TADA
12,4,LR,0.2653835867,0.7036340852,TADA
0,0,KNN,0.198177207,0.6694352159,TADA
3,1,KNN,0.1867264814,0.6055855482,TADA
6,2,KNN,0.0962039657,0.5870135108,TADA
9,3,KNN,0.1772206542,0.6971595656,TADA
12,4,KNN,0.3217170708,0.7573099415,TADA
0,0,DT,0.1116533843,0.5850290698,TADA
3,1,DT,0.0931704976,0.5618770764,TADA
6,2,DT,0.1521787019,0.6251260335,TADA
9,3,DT,0.0537464279,0.5467836257,TADA
12,4,DT,0.2152255702,0.6291771094,TADA
0,0,SVMR,0.2588625803,0.7157392027,TADA
3,1,SVMR,0.345507503,0.8127076412,TADA
6,2,SVMR,0.2350124125,0.6959064327,TADA
9,3,SVMR,0.3009888561,0.7121971596,TADA
12,4,SVMR,0.3316011867,0.7462406015,TADA
0,0,SVML,0.2305561671,0.7003737542,TADA
3,1,SVML,0.2033115073,0.6360049834,TADA
6,2,SVML,0.3338291385,0.7914902198,TADA
9,3,SVML,0.4294578805,0.7671261487,TADA
12,4,SVML,0.4822133681,0.8253968254,TADA
0,0,RF,0.2281642678,0.7326619601,TADA
3,1,RF,0.2387144598,0.695494186,TADA
6,2,RF,0.3024470106,0.6793708409,TADA
9,3,RF,0.243934301,0.6272974102,TADA
12,4,RF,0.2373214501,0.693817878,TADA
0,0,XG,0.0241688534,0.6311254153,TADA
3,1,XG,0.2848545874,0.7144933555,TADA
6,2,XG,0.2944203756,0.703569268,TADA
