,fold,model,mcc,auc,type
9,3,XG,0.3043904546,0.7220133668,TADA
12,4,XG,0.1930187356,0.6948621554,TADA
0,0,LR,0.0452878185,0.8004568106,DEFAULT
3,1,LR,0.1042729499,0.7772009967,DEFAULT
6,2,LR,0.1333383746,0.7182899778,DEFAULT
9,3,LR,0.1053783245,0.7865497076,DEFAULT
12,4,LR,0.1821905897,0.6814954052,DEFAULT
0,0,KNN,0.3186922552,0.7011004983,DEFAULT
3,1,KNN,0.2186933668,0.7074335548,DEFAULT
6,2,KNN,0.1440334139,0.7046783626,DEFAULT
9,3,KNN,0.1854488481,0.5781119465,DEFAULT
12,4,KNN,0.2596651628,0.6597744361,DEFAULT
0,0,DT,0.2610742528,0.6151370432,DEFAULT
3,1,DT,0.2387144598,0.6093230897,DEFAULT
6,2,DT,0.2209545547,0.7018552127,DEFAULT
9,3,DT,0.1756250433,0.6454678363,DEFAULT
12,4,DT,0.1269633952,0.6871345029,DEFAULT
0,0,SVMR,0,0.771179402,DEFAULT
3,1,SVMR,0,0.717192691,DEFAULT
6,2,SVMR,-0.0291927095,0.7092155677,DEFAULT
9,3,SVMR,0,0.5217209691,DEFAULT
12,4,SVMR,0.1756250433,0.7577276525,DEFAULT
0,0,SVML,0,0.6737956811,DEFAULT
3,1,SVML,0,0.7888289037,DEFAULT
6,2,SVML,0,0.6430732002,DEFAULT
9,3,SVML,0,0.6984126984,DEFAULT
12,4,SVML,0,0.6975772765,DEFAULT
0,0,RF,0.1382448616,0.6974667774,DEFAULT
3,1,RF,0.1199852335,0.7570598007,DEFAULT
6,2,RF,0.2601349862,0.7746521476,DEFAULT
9,3,RF,0.261757293,0.7852965748,DEFAULT
12,4,RF,0.0796296238,0.6778404344,DEFAULT
0,0,XG,0.1255685853,0.6519933555,DEFAULT
3,1,XG,0,0.5,DEFAULT
6,2,XG,0,0.5,DEFAULT
9,3,XG,-0.0044002622,0.5020885547,DEFAULT
12,4,XG,0.0202655025,0.5328947368,DEFAULT
0,0,LR,0.3075593067,0.7909053156,ADASYN_over
3,1,LR,0.3581588539,0.824127907,ADASYN_over
6,2,LR,0.3062608957,0.696713047,ADASYN_over
9,3,LR,0.3517038142,0.7738095238,ADASYN_over
12,4,LR,0.2119644629,0.6583124478,ADASYN_over
0,0,KNN,0.204569082,0.6841777409,ADASYN_over
3,1,KNN,0.2297865048,0.6235465116,ADASYN_over
6,2,KNN,0.1989792063,0.6206896552,ADASYN_over
9,3,KNN,0.283842275,0.6941311612,ADASYN_over
12,4,KNN,0.132624795,0.6493316625,ADASYN_over
0,0,DT,0.1232140728,0.5805647841,ADASYN_over
3,1,DT,0.1606889297,0.6242732558,ADASYN_over
6,2,DT,0.1778130416,0.6027424884,ADASYN_over
9,3,DT,0.0730756778,0.5603592314,ADASYN_over
12,4,DT,0.013165669,0.507101086,ADASYN_over
0,0,SVMR,0.2000138423,0.7379568106,ADASYN_over
3,1,SVMR,0.2326368486,0.7167774086,ADASYN_over
6,2,SVMR,0.3015778723,0.6809840694,ADASYN_over
9,3,SVMR,0.2060779849,0.7071846282,ADASYN_over
12,4,SVMR,0.2174991185,0.7021720969,ADASYN_over
0,0,SVML,0.2560092623,0.7113787375,ADASYN_over
3,1,SVML,0.3018688822,0.7159468439,ADASYN_over
6,2,SVML,0.3984543092,0.7753579351,ADASYN_over
9,3,SVML,0.3316011867,0.7824770259,ADASYN_over
12,4,SVML,0.3639718028,0.7696324144,ADASYN_over
0,0,RF,0.2235423653,0.7204111296,ADASYN_over
3,1,RF,0.1694352159,0.6862541528,ADASYN_over
6,2,RF,0.2737310743,0.6970155273,ADASYN_over
9,3,RF,0.1546991178,0.6964285714,ADASYN_over
12,4,RF,0.2492648914,0.6963241437,ADASYN_over
0,0,XG,0.2476807361,0.7217607973,ADASYN_over
3,1,XG,0.26517757,0.6964285714,ADASYN_over
6,2,XG,0.1160587302,0.6281508369,ADASYN_over
9,3,XG,0.2006953276,0.764619883,ADASYN_over
12,4,XG,0.0652399776,0.642021721,ADASYN_over
0,0,LR,0.345442543,0.708679402,ADASYN_both
3,1,LR,0.2789175072,0.7992109635,ADASYN_both
6,2,LR,0.3050794633,0.724137931,ADASYN_both
9,3,LR,0.292747734,0.7493734336,ADASYN_both
12,4,LR,0.2853701496,0.7510442774,ADASYN_both
0,0,KNN,0.1443666177,0.6420265781,ADASYN_both
3,1,KNN,0.2607913094,0.7160506645,ADASYN_both
6,2,KNN,0.2045703901,0.6637426901,ADASYN_both
9,3,KNN,0.2114769205,0.7228487886,ADASYN_both
12,4,KNN,0.1002888144,0.6247911445,ADASYN_both
0,0,DT,0.2148404473,0.6158637874,ADASYN_both
3,1,DT,0.2275343305,0.6581187708,ADASYN_both
6,2,DT,0.1035863892,0.5895341803,ADASYN_both
9,3,DT,0.1654252263,0.6383667502,ADASYN_both
12,4,DT,0.2114769205,0.7398705096,ADASYN_both
0,0,SVMR,0.2793667276,0.7337001661,ADASYN_both
3,1,SVMR,0.3393559559,0.7792774086,ADASYN_both
6,2,SVMR,0.2823702722,0.7013510788,ADASYN_both
9,3,SVMR,0.2728473598,0.7268170426,ADASYN_both
12,4,SVMR,0.4391904949,0.8347953216,ADASYN_both
0,0,SVML,0.3902519411,0.8048172757,ADASYN_both
3,1,SVML,0.3215370818,0.7408637874,ADASYN_both
6,2,SVML,0.3143778988,0.739261948,ADASYN_both
9,3,SVML,0.3653419471,0.7568922306,ADASYN_both
12,4,SVML,0.2511166283,0.712406015,ADASYN_both
0,0,RF,0.2109634551,0.7270556478,ADASYN_both
3,1,RF,0.1612448766,0.6332018272,ADASYN_both
6,2,RF,0.4783064948,0.8495664448,ADASYN_both
9,3,RF,0.0740358025,0.6006683375,ADASYN_both
12,4,RF,0.2949568778,0.7196115288,ADASYN_both
0,0,XG,0.2169682591,0.678986711,ADASYN_both
3,1,XG,0.1842007519,0.6866694352,ADASYN_both
6,2,XG,0.2875672101,0.7348255697,ADASYN_both
9,3,XG,0.2865327934,0.7857142857,ADASYN_both
12,4,XG,0.1869188872,0.6612364244,ADASYN_both
0,0,LR,0.2610494736,0.7686877076,SMOTE_both
3,1,LR,0.3347236394,0.7570598007,SMOTE_both
6,2,LR,0.3670790527,0.7783827385,SMOTE_both
9,3,LR,0.3324803295,0.7042606516,SMOTE_both
12,4,LR,0.2730727231,0.7378863826,SMOTE_both
0,0,KNN,0.1765163234,0.6127491694,SMOTE_both
3,1,KNN,0.2631666187,0.727782392,SMOTE_both
6,2,KNN,0.2138288105,0.6672716273,SMOTE_both
9,3,KNN,0.1545441045,0.657059315,SMOTE_both
12,4,KNN,0.2653835867,0.7178362573,SMOTE_both
0,0,DT,0.1708862351,0.6348629568,SMOTE_both
3,1,DT,0.1879101572,0.6207433555,SMOTE_both
6,2,DT,0.2375289497,0.6647509579,SMOTE_both
9,3,DT,0.3217170708,0.7054093567,SMOTE_both
12,4,DT,0.14958601,0.6703216374,SMOTE_both
0,0,SVMR,0.3646698464,0.7389950166,SMOTE_both
3,1,SVMR,0.2902009604,0.7676495017,SMOTE_both
6,2,SVMR,0.2632567407,0.7422867514,SMOTE_both
9,3,SVMR,0.3509884056,0.7527151211,SMOTE_both
12,4,SVMR,0.2440330131,0.7194026734,SMOTE_both
0,0,SVML,0.3922913243,0.7904900332,SMOTE_both
3,1,SVML,0.3805865564,0.771179402,SMOTE_both
6,2,SVML,0.2882043572,0.6991328897,SMOTE_both
9,3,SVML,0.3043904546,0.6802422723,SMOTE_both
12,4,SVML,0.4576121784,0.8529657477,SMOTE_both
0,0,RF,0.1533505243,0.7311046512,SMOTE_both
3,1,RF,0.1242905942,0.6129568106,SMOTE_both
6,2,RF,0.2840201633,0.7676950998,SMOTE_both
9,3,RF,0.3824558955,0.7246240602,SMOTE_both
12,4,RF,0.3354359711,0.7716165414,SMOTE_both
0,0,XG,0.2159807659,0.6727574751,SMOTE_both
3,1,XG,0.265708456,0.6831395349,SMOTE_both
6,2,XG,0.0840486122,0.6497277677,SMOTE_both
9,3,XG,0.3065369696,0.7170008354,SMOTE_both
12,4,XG,0.3415942527,0.7644110276,SMOTE_both
0,0,LR,0.1218982521,0.6488787375,SMOTE_over
3,1,LR,0.3193158615,0.7491694352,SMOTE_over
6,2,LR,0.320619369,0.7999596693,SMOTE_over
9,3,LR,0.3068952838,0.7303675856,SMOTE_over
12,4,LR,0.4214723899,0.776106934,SMOTE_over
0,0,KNN,0.212281567,0.6940406977,SMOTE_over
3,1,KNN,0.144645506,0.6157599668,SMOTE_over
6,2,KNN,0.1072720563,0.572292801,SMOTE_over
9,3,KNN,0.1765215219,0.6053675856,SMOTE_over
12,4,KNN,0.2519121812,0.7224310777,SMOTE_over
0,0,DT,0.0842383517,0.5961378738,SMOTE_over
3,1,DT,0.089219789,0.5558554817,SMOTE_over
6,2,DT,0.0761335784,0.579149022,SMOTE_over
9,3,DT,0.1700227436,0.6728279031,SMOTE_over
12,4,DT,0.2856316496,0.6715747703,SMOTE_over
0,0,SVMR,0.1903804162,0.6752491694,SMOTE_over
3,1,SVMR,0.2903803878,0.7304817276,SMOTE_over
6,2,SVMR,0.2808475553,0.7562008469,SMOTE_over
9,3,SVMR,0.4245097344,0.7959482038,SMOTE_over
12,4,SVMR,0.2978928,0.7457184628,SMOTE_over
0,0,SVML,0.3201422663,0.7294435216,SMOTE_over
3,1,SVML,0.422098402,0.814576412,SMOTE_over
6,2,SVML,0.3157916331,0.7194998992,SMOTE_over
9,3,SVML,0.2853701496,0.7215956558,SMOTE_over
12,4,SVML,0.3827298318,0.7744360902,SMOTE_over
0,0,RF,0.3703536708,0.8050249169,SMOTE_over
3,1,RF,0.1224829638,0.6049626246,SMOTE_over
6,2,RF,0.1940731915,0.6479128857,SMOTE_over
9,3,RF,0.2645393359,0.7096908939,SMOTE_over
12,4,RF,0.2939095475,0.6501670844,SMOTE_over
0,0,XG,0.3451057176,0.7658845515,SMOTE_over
3,1,XG,0.1937059254,0.6891611296,SMOTE_over
6,2,XG,0.2295305184,0.6709013914,SMOTE_over
9,3,XG,0.1518488598,0.6963241437,SMOTE_over
12,4,XG,0.2194912306,0.6967418546,SMOTE_over
0,0,LR,0.2727248099,0.7437707641,TADA
3,1,LR,0.3198519712,0.7526993355,TADA
6,2,LR,0.3687572444,0.8320225852,TADA
9,3,LR,0.3829548554,0.7888471178,TADA
12,4,LR,0.2513445895,0.6873433584,TADA
0,0,KNN,0.1458711283,0.6308139535,TADA
3,1,KNN,0.3526937758,0.7927740864,TADA
6,2,KNN,0.1826124302,0.6753377697,TADA
9,3,KNN,0.1272232573,0.5562865497,TADA
12,4,KNN,0.1540559592,0.6233291562,TADA
0,0,DT,0.194531766,0.6489825581,TADA
3,1,DT,0.2246214982,0.6463870432,TADA
6,2,DT,0.1695071476,0.593768905,TADA
9,3,DT,0.1386912135,0.581871345,TADA
12,4,DT,0.1120400158,0.625,TADA
0,0,SVMR,0.2792516487,0.7318313953,TADA
3,1,SVMR,0.3049940219,0.7574750831,TADA
6,2,SVMR,0.2747833439,0.7233313168,TADA
9,3,SVMR,0.2527726311,0.7297410192,TADA
12,4,SVMR,0.3252522901,0.7961570593,TADA
0,0,SVML,0.3259758671,0.7653654485,TADA
3,1,SVML,0.3468466135,0.7587209302,TADA
6,2,SVML,0.3148294198,0.7487396653,TADA
9,3,SVML,0.3065369696,0.7030075188,TADA
12,4,SVML,0.4554979499,0.8088972431,TADA
0,0,RF,0.2846405717,0.7516611296,TADA
3,1,RF,0.1707371411,0.697051495,TADA
6,2,RF,0.288743041,0.6786650534,TADA
9,3,RF,0.377142819,0.7052005013,TADA
12,4,RF,0.2616929261,0.7135547201,TADA
0,0,XG,0.3062428087,0.686461794,TADA
3,1,XG,0.2848545874,0.7879983389,TADA
6,2,XG,0.0442384753,0.645493043,TADA
9,3,XG,0.2103174603,0.7047827903,TADA
12,4,XG,0.2470031209,0.7069757728,TADA
0,0,LR,0.0979869536,0.7122093023,DEFAULT
3,1,LR,0.2367914544,0.8095930233,DEFAULT
6,2,LR,0.2605558263,0.7914902198,DEFAULT
9,3,LR,0.0976779386,0.7234753551,DEFAULT
12,4,LR,0.0685381072,0.7619047619,DEFAULT
0,0,KNN,0.3834725551,0.8536129568,DEFAULT
3,1,KNN,0.1170654472,0.6502284053,DEFAULT
6,2,KNN,0.1729165554,0.6708005646,DEFAULT
9,3,KNN,0.1348435359,0.5791562239,DEFAULT
12,4,KNN,0.2250863455,0.7470760234,DEFAULT
0,0,DT,0.3458342506,0.6587416944,DEFAULT
3,1,DT,0.2524916944,0.6537583056,DEFAULT
6,2,DT,0.1682134403,0.6631377294,DEFAULT
9,3,DT,0.3292120906,0.7315162907,DEFAULT
12,4,DT,0.3586851573,0.6643692565,DEFAULT
0,0,SVMR,0,0.5973837209,DEFAULT
3,1,SVMR,0,0.5793189369,DEFAULT
6,2,SVMR,0,0.7477313975,DEFAULT
9,3,SVMR,-0.028757317,0.675229741,DEFAULT
12,4,SVMR,0,0.7291144528,DEFAULT
0,0,SVML,0,0.6827242525,DEFAULT
3,1,SVML,0,0.5803571429,DEFAULT
6,2,SVML,0,0.7691066747,DEFAULT
9,3,SVML,0,0.7090643275,DEFAULT
12,4,SVML,0,0.6917293233,DEFAULT
0,0,RF,0.2443264917,0.802429402,DEFAULT
3,1,RF,0.158383688,0.7514534884,DEFAULT
6,2,RF,0.1161086848,0.7991530551,DEFAULT
9,3,RF,0.0510243792,0.7050960735,DEFAULT
12,4,RF,0.0189148627,0.6972639933,DEFAULT
0,0,XG,0.0804000294,0.5784883721,DEFAULT
3,1,XG,0.2725100818,0.7036960133,DEFAULT
6,2,XG,0.0781612175,0.7103246622,DEFAULT
9,3,XG,0.2685775067,0.6979949875,DEFAULT
12,4,XG,0.1712341409,0.6704260652,DEFAULT
0,0,LR,0.3772529965,0.8208056478,ADASYN_over
3,1,LR,0.2392205335,0.7742940199,ADASYN_over
6,2,LR,0.2932570597,0.7747529744,ADASYN_over
9,3,LR,0.2981652281,0.7752715121,ADASYN_over
12,4,LR,0.2527726311,0.657059315,ADASYN_over
0,0,KNN,0.2450748797,0.7263289037,ADASYN_over
3,1,KNN,0.1556889723,0.6626868771,ADASYN_over
6,2,KNN,0.0884376313,0.6106069772,ADASYN_over
9,3,KNN,0.2268971339,0.7167919799,ADASYN_over
12,4,KNN,0.2126263954,0.6775271512,ADASYN_over
0,0,DT,0.0644811359,0.5148463455,ADASYN_over
3,1,DT,0.1132008308,0.5880398671,ADASYN_over
6,2,DT,0.3687572444,0.7519661222,ADASYN_over
9,3,DT,0.1576571327,0.609962406,ADASYN_over
12,4,DT,0.1772206542,0.6354427736,ADASYN_over
0,0,SVMR,0.2944080951,0.7975498339,ADASYN_over
3,1,SVMR,0.1648863654,0.6704734219,ADASYN_over
6,2,SVMR,0.1349045356,0.6507360355,ADASYN_over
9,3,SVMR,0.3677353249,0.8385547201,ADASYN_over
12,4,SVMR,0.3036626973,0.7506265664,ADASYN_over
0,0,SVML,0.4708992186,0.8457225914,ADASYN_over
3,1,SVML,0.2126020403,0.7235257475,ADASYN_over
6,2,SVML,0.2739918945,0.7396652551,ADASYN_over
9,3,SVML,0.2550890563,0.7121971596,ADASYN_over
12,4,SVML,0.4172073401,0.824352548,ADASYN_over
0,0,RF,0.1626518887,0.6676702658,ADASYN_over
3,1,RF,0.2940199336,0.7261212625,ADASYN_over
6,2,RF,0.1612448766,0.6880419439,ADASYN_over
9,3,RF,0.2737983957,0.7220133668,ADASYN_over
12,4,RF,0.1954533664,0.6885964912,ADASYN_over
0,0,XG,0.2235423653,0.7120016611,ADASYN_over
3,1,XG,0.1438374649,0.6765988372,ADASYN_over
6,2,XG,0.2337164751,0.7156684815,ADASYN_over
9,3,XG,0.3243812049,0.7456140351,ADASYN_over
12,4,XG,0.2523720477,0.6754385965,ADASYN_over
0,0,LR,0.2929154343,0.7136627907,ADASYN_both
3,1,LR,0.3278220501,0.7815614618,ADASYN_both
6,2,LR,0.3380530608,0.7445049405,ADASYN_both
9,3,LR,0.2821393223,0.7865497076,ADASYN_both
12,4,LR,0.332147622,0.7591896408,ADASYN_both
0,0,KNN,0.2272975013,0.7597591362,ADASYN_both
3,1,KNN,0.2180500878,0.7229028239,ADASYN_both
6,2,KNN,0.32302935,0.7482355314,ADASYN_both
9,3,KNN,0.1147356167,0.6453634085,ADASYN_both
12,4,KNN,0.3374709206,0.7637844612,ADASYN_both
0,0,DT,0.1715773083,0.6365240864,ADASYN_both
3,1,DT,0.1976934175,0.6476328904,ADASYN_both
6,2,DT,0.3176841765,0.7184916314,ADASYN_both
9,3,DT,-0.017302596,0.4900793651,ADASYN_both
12,4,DT,0.1692975547,0.5829156224,ADASYN_both
0,0,SVMR,0.0865768454,0.6463870432,ADASYN_both
3,1,SVMR,0.3322627805,0.8095930233,ADASYN_both
6,2,SVMR,0.3627188499,0.8164952611,ADASYN_both
9,3,SVMR,0.2621667372,0.7078111947,ADASYN_both
12,4,SVMR,0.2405718428,0.7439431913,ADASYN_both
0,0,SVML,0.2148404473,0.7346345515,ADASYN_both
3,1,SVML,0.2861568877,0.7763704319,ADASYN_both
6,2,SVML,0.3985741907,0.8544061303,ADASYN_both
9,3,SVML,0.3288609759,0.7322472849,ADASYN_both
12,4,SVML,0.3951770469,0.7894736842,ADASYN_both
0,0,RF,0.3746537715,0.7952657807,ADASYN_both
3,1,RF,0.2169682591,0.6992317276,ADASYN_both
6,2,RF,0.2672753167,0.7076023392,ADASYN_both
9,3,RF,0.2157004631,0.6798245614,ADASYN_both
12,4,RF,0.1987446797,0.6859857978,ADASYN_both
0,0,XG,0.2591390646,0.7441860465,ADASYN_both
3,1,XG,0.3002160477,0.7979651163,ADASYN_both
6,2,XG,0.0793946854,0.6370235935,ADASYN_both
9,3,XG,0.3067698386,0.6986215539,ADASYN_both
12,4,XG,0.2440330131,0.7226399332,ADASYN_both
0,0,LR,0.3713124175,0.7921511628,SMOTE_both
3,1,LR,0.3045779004,0.7734634551,SMOTE_both
6,2,LR,0.4142336042,0.8171002218,SMOTE_both
9,3,LR,0.2367737326,0.6372180451,SMOTE_both
12,4,LR,0.3655781502,0.8038847118,SMOTE_both
0,0,KNN,0.2819950944,0.7051495017,SMOTE_both
3,1,KNN,0.2328643806,0.7021387043,SMOTE_both
6,2,KNN,0.3353672487,0.7659810446,SMOTE_both
9,3,KNN,0.2783037696,0.7205513784,SMOTE_both
12,4,KNN,0.2728473598,0.740914787,SMOTE_both
0,0,DT,0.2445637895,0.6912375415,SMOTE_both
3,1,DT,0.1760901813,0.6375622924,SMOTE_both
6,2,DT,0.0761335784,0.6177656786,SMOTE_both
9,3,DT,0.1096595236,0.6293859649,SMOTE_both
12,4,DT,0.292747734,0.7370509607,SMOTE_both
0,0,SVMR,0.3590362999,0.8118770764,SMOTE_both
3,1,SVMR,0.2801414952,0.739410299,SMOTE_both
6,2,SVMR,0.2530029012,0.7318007663,SMOTE_both
9,3,SVMR,0.3844887459,0.7531328321,SMOTE_both
12,4,SVMR,0.3129046834,0.7268170426,SMOTE_both
0,0,SVML,0.4582175982,0.8388704319,SMOTE_both
3,1,SVML,0.2389795317,0.7512458472,SMOTE_both
6,2,SVML,0.3284490288,0.7709215568,SMOTE_both
9,3,SVML,0.2994645447,0.7209690894,SMOTE_both
12,4,SVML,0.3895275689,0.8063909774,SMOTE_both
0,0,RF,0.1694352159,0.7483388704,SMOTE_both
3,1,RF,0.2665805682,0.73785299,SMOTE_both
6,2,RF,0.1849272053,0.6734220609,SMOTE_both
9,3,RF,0.2583825924,0.7036340852,SMOTE_both
12,4,RF,0.3099160301,0.7218045113,SMOTE_both
0,0,XG,0.2201163618,0.7348421927,SMOTE_both
3,1,XG,0.2057162571,0.7028654485,SMOTE_both
6,2,XG,0.3266109808,0.7440008066,SMOTE_both
9,3,XG,0.3154708642,0.7341269841,SMOTE_both
12,4,XG,0.0915766512,0.7034252297,SMOTE_both
0,0,LR,0.4025507336,0.8081395349,SMOTE_over
3,1,LR,0.4287816466,0.7848837209,SMOTE_over
6,2,LR,0.2318259678,0.7275660415,SMOTE_over
9,3,LR,0.2436080698,0.7251461988,SMOTE_over
12,4,LR,0.3401836022,0.8086883876,SMOTE_over
0,0,KNN,0.2677813816,0.7078488372,SMOTE_over
3,1,KNN,0.2224962129,0.7238372093,SMOTE_over
6,2,KNN,0.2688239365,0.73512805,SMOTE_over
9,3,KNN,0.2174991185,0.6988304094,SMOTE_over
12,4,KNN,0.2517738679,0.7184628237,SMOTE_over
0,0,DT,0.1765163234,0.6586378738,SMOTE_over
3,1,DT,0.1708862351,0.6574958472,SMOTE_over
6,2,DT,0.1240945975,0.6007259528,SMOTE_over
9,3,DT,0.1386912135,0.7087510443,SMOTE_over
12,4,DT,0.0740358025,0.5835421888,SMOTE_over
0,0,SVMR,0.2579533586,0.7290282392,SMOTE_over
3,1,SVMR,0.4311809502,0.8320182724,SMOTE_over
6,2,SVMR,0.296990348,0.7219197419,SMOTE_over
9,3,SVMR,0.2420320223,0.7439431913,SMOTE_over
12,4,SVMR,0.3765083933,0.7775689223,SMOTE_over
0,0,SVML,0.267854843,0.770141196,SMOTE_over
3,1,SVML,0.3713124175,0.7931893688,SMOTE_over
6,2,SVML,0.3687572444,0.7624521073,SMOTE_over
9,3,SVML,0.3446783857,0.7926065163,SMOTE_over
12,4,SVML,0.2513445895,0.7583542189,SMOTE_over
0,0,RF,0.1011200932,0.6465946844,SMOTE_over
3,1,RF,0.3703536708,0.771698505,SMOTE_over
6,2,RF,0.3475133385,0.7701149425,SMOTE_over
9,3,RF,0.1432438235,0.7095864662,SMOTE_over
12,4,RF,0.3460963172,0.7400793651,SMOTE_over
0,0,XG,0.1524985703,0.7321428571,SMOTE_over
3,1,XG,0.1694352159,0.6708887043,SMOTE_over
6,2,XG,0.227415115,0.736035491,SMOTE_over
9,3,XG,0.2737983957,0.8078529657,SMOTE_over
12,4,XG,0.2334085657,0.7057226399,SMOTE_over
0,0,LR,0.4292131821,0.8218438538,TADA
3,1,LR,0.2662233303,0.7321428571,TADA
6,2,LR,0.2710073834,0.7485380117,TADA
9,3,LR,0.2110012195,0.7040517962,TADA
12,4,LR,0.4334697117,0.8264411028,TADA
0,0,KNN,0.3077585671,0.7087832226,TADA
3,1,KNN,0.1387681717,0.6549003322,TADA
6,2,KNN,0.1333815281,0.6641459972,TADA
9,3,KNN,0.1645640932,0.6919381788,TADA
12,4,KNN,0.2752516768,0.7593984962,TADA
0,0,DT,0.1877508925,0.6115033223,TADA
3,1,DT,0.2031472587,0.6591569767,TADA
6,2,DT,0.1426373657,0.5743093366,TADA
9,3,DT,0.1927926262,0.6425438596,TADA
12,4,DT,0.115455182,0.6107978279,TADA
0,0,SVMR,0.27394028,0.772217608,TADA
3,1,SVMR,0.3273447444,0.7697259136,TADA
6,2,SVMR,0.2532418475,0.7130469853,TADA
9,3,SVMR,0.3962325639,0.8187134503,TADA
12,4,SVMR,0.2119644629,0.7406015038,TADA
0,0,SVML,0.3018688822,0.749480897,TADA
3,1,SVML,0.2021840803,0.7078488372,TADA
6,2,SVML,0.4424648691,0.8436176649,TADA
9,3,SVML,0.2603496289,0.709273183,TADA
12,4,SVML,0.3740279563,0.7702589808,TADA
0,0,RF,0.3937238492,0.8526785714,TADA
3,1,RF,0.2281642678,0.7392026578,TADA
6,2,RF,0.3024470106,0.7636620286,TADA
9,3,RF,0.1403360778,0.6518379282,TADA
12,4,RF,0.0739316231,0.6408730159,TADA
0,0,XG,0.3965799204,0.7877906977,TADA
3,1,XG,0.2610742528,0.7074335548,TADA
